"concept_id","recommended_unit_concept_id"
1001832,8512
1001918,8729
1002289,8554
1091035,8525
1091077,8525
1091095,8525
1091169,8525
1091170,8525
1091280,8525
1091416,8525
1091431,8525
1091441,8525
1091547,8525
1091632,8525
1091639,8525
1091648,8525
1091759,8525
1091864,8525
1091878,8525
1091899,8525
1091990,8525
1092068,8525
1092157,8525
1092171,8525
1092181,8525
1092239,8525
1092250,8525
1092293,8525
1092294,8525
1092309,8525
1092342,8525
1092443,8525
1175134,8810
1616393,8525
1616552,8810
1616785,44777640
1616821,8810
1617109,44777624
1761363,8985
1988265,8980
1988418,8729
1989226,8525
3000002,8749
3000003,8810
3000034,8751
3000048,8810
3000067,8845
3000121,8554
3000150,8810
3000167,8842
3000185,8554
3000194,8980
3000209,8810
3000213,44777627
3000214,8810
3000244,8842
3000267,8842
3000278,8810
3000285,8753
3000309,8810
3000321,8736
3000353,8810
3000361,8910
3000401,8636
3000402,8810
3000415,8842
3000475,8848
3000478,9073
3000502,8525
3000504,8985
3000510,8810
3000515,8554
3000570,8720
3000578,8749
3000593,8725
3000606,8816
3000620,8636
3000625,8525
3000659,8748
3000670,8842
3000690,44777627
3000699,8842
3000726,8753
3000787,8751
3000831,8845
3000852,8810
3000876,8810
3000905,9444
3000936,8810
3000950,8810
3000963,8636
3000972,8923
3000990,8749
3000992,8753
3000997,8810
3000998,8810
3001036,8554
3001038,8980
3001122,8748
3001125,8810
3001151,8810
3001165,8525
3001170,8749
3001186,8749
3001204,8753
3001243,8749
3001247,8810
3001255,8980
3001280,8906
3001308,8753
3001317,8907
3001362,9444
3001370,8842
3001378,8810
3001380,9073
3001389,8810
3001405,8647
3001420,8751
3001444,8842
3001448,8810
3001463,8980
3001467,8923
3001475,8525
3001482,8842
3001488,8810
3001494,9257
3001552,9444
3001582,9511
3001585,9074
3001591,8810
3001604,9444
3001679,8810
3001746,8810
3001774,8751
3001777,8751
3001782,8810
3001784,8554
3001788,8729
3001802,9074
3001804,8845
3001818,8842
3001837,8748
3001850,8554
3001894,8587
3001915,8810
3001978,8751
3002030,8554
3002032,8753
3002042,8525
3002079,8910
3002090,8749
3002107,8810
3002109,8523
3002128,8810
3002140,8636
3002156,8753
3002159,9073
3002173,8636
3002179,8554
3002186,8842
3002187,8810
3002235,8736
3002248,8751
3002257,8525
3002278,8842
3002291,8810
3002297,8554
3002313,8810
3002329,8810
3002335,8810
3002348,8554
3002357,8842
3002380,9073
3002384,8980
3002385,8554
3002395,8749
3002400,8751
3002455,8810
3002462,8554
3002463,8810
3002479,8810
3002480,8749
3002481,9074
3002490,8810
3002500,8554
3002527,8810
3002535,8980
3002538,8810
3002540,9073
3002593,8845
3002617,8751
3002621,8985
3002625,8842
3002636,8810
3002654,8753
3002681,8554
3002721,8907
3002730,8842
3002736,8554
3002783,8751
3002793,8842
3002827,9074
3002864,8647
3002893,8810
3002939,9073
3003022,8810
3003050,8525
3003061,8810
3003075,8810
3003087,8810
3003129,8753
3003137,9444
3003171,8729
3003177,8810
3003181,8753
3003195,8842
3003216,8810
3003222,8736
3003245,8636
3003249,8810
3003280,8842
3003329,8554
3003334,8636
3003338,8713
3003350,8842
3003386,8554
3003396,8753
3003406,8810
3003420,8810
3003435,8636
3003458,8753
3003492,8980
3003516,8810
3003526,8980
3003531,8810
3003565,8525
3003576,8810
3003588,8810
3003604,8751
3003633,8810
3003686,8554
3003734,8810
3003765,8810
3003771,8554
3003772,8751
3003785,8842
3003811,8810
3003813,8748
3003824,8753
3003829,8842
3003879,8554
3003888,8810
3003898,9257
3003901,8525
3003932,8876
3004009,9161
3004067,8753
3004081,8748
3004090,8751
3004119,8636
3004141,8810
3004149,8907
3004156,9073
3004187,8751
3004190,9444
3004204,8749
3004239,8909
3004247,8749
3004248,8736
3004254,8749
3004272,8842
3004274,8810
3004280,8729
3004282,8845
3004294,8751
3004321,8736
3004334,8525
3004374,8554
3004379,8842
3004394,8810
3004409,8554
3004428,8636
3004454,8748
3004455,8810
3004490,8753
3004501,8636
3004529,8876
3004559,8753
3004578,8845
3004593,8980
3004631,8525
3004652,8525
3004686,8842
3004695,8749
3004706,8749
3004722,8842
3004724,8753
3004737,8554
3004744,8810
3004748,9073
3004764,8554
3004768,8810
3004774,8810
3004789,8636
3004858,8810
3004878,8842
3004879,9257
3004905,8923
3004915,8980
3004922,8842
3004935,9073
3004944,8842
3004955,8749
3004959,8753
3004977,8810
3004982,8842
3005013,8842
3005029,8636
3005031,8751
3005080,8555
3005082,8736
3005103,8810
3005105,9444
3005136,8810
3005148,8909
3005171,8525
3005194,8810
3005199,8810
3005225,8923
3005229,8636
3005235,8810
3005294,8845
3005308,8555
3005322,8810
3005333,8810
3005335,8749
3005347,8749
3005353,8554
3005356,8980
3005375,8810
3005379,8810
3005398,8810
3005411,8748
3005414,8810
3005416,8751
3005424,8617
3005456,8753
3005478,8807
3005536,8845
3005540,8751
3005562,8810
3005570,8753
3005577,8909
3005578,8751
3005585,8980
3005611,8749
3005629,8698
3005715,8751
3005719,8636
3005755,8923
3005757,8554
3005767,8749
3005769,8748
3005770,8795
3005772,8749
3005784,8748
3005788,8810
3005790,8749
3005841,8810
3005895,8748
3005897,8636
3005904,8810
3005940,8554
3005947,8810
3005969,8810
3005972,8810
3005979,9444
3005989,8725
3005991,8636
3006009,8749
3006013,8810
3006015,9073
3006028,8751
3006029,9073
3006047,9073
3006078,8810
3006101,8810
3006109,8554
3006127,8749
3006140,8749
3006142,8749
3006157,8525
3006173,9073
3006184,8636
3006212,8810
3006214,8736
3006245,8554
3006256,8842
3006263,8842
3006302,8842
3006304,8810
3006315,9444
3006318,9073
3006330,8554
3006382,8736
3006398,8749
3006407,8748
3006408,8554
3006451,8810
3006467,8753
3006498,8810
3006504,8554
3006506,9073
3006513,8751
3006517,8512
3006522,8980
3006542,8810
3006567,8910
3006572,8985
3006573,8980
3006576,8753
3006588,8980
3006598,8482
3006606,8810
3006627,8980
3006636,8906
3006638,8751
3006661,8751
3006693,8525
3006734,8810
3006747,9073
3006757,8554
3006762,8749
3006792,8985
3006840,8810
3006881,8749
3006888,8810
3006889,8749
3006901,8749
3006906,8751
3006923,8923
3006956,8748
3006957,8985
3006994,8719
3006999,8980
3007000,8751
3007015,8810
3007027,9260
3007059,8845
3007061,8985
3007070,8636
3007082,8810
3007103,8749
3007104,8985
3007107,9073
3007124,8554
3007128,9073
3007134,8749
3007144,8554
3007164,8636
3007170,8842
3007172,8810
3007182,8810
3007218,8842
3007220,8923
3007223,8525
3007230,8749
3007242,8749
3007244,8749
3007272,8810
3007280,8810
3007315,8810
3007332,8636
3007337,9073
3007357,8554
3007359,8751
3007368,8751
3007411,9073
3007424,8554
3007430,8749
3007435,8753
3007437,8736
3007438,8810
3007449,8554
3007456,8810
3007480,8753
3007495,8842
3007518,8810
3007542,8810
3007565,8525
3007566,8525
3007590,8842
3007607,8810
3007620,8810
3007628,8753
3007687,8909
3007696,8876
3007700,8810
3007706,8736
3007713,8810
3007719,8842
3007733,8753
3007757,8810
3007790,8749
3007838,8810
3007843,9073
3007844,8980
3007854,8749
3007857,8842
3007862,8554
3007887,8810
3007893,8810
3007916,8525
3007922,8842
3007957,8985
3007972,8647
3008022,8525
3008029,9073
3008046,8810
3008090,8906
3008091,8748
3008092,8980
3008108,8554
3008136,8810
3008142,8751
3008151,8647
3008152,8753
3008211,9073
3008214,8736
3008227,8810
3008228,8810
3008230,8980
3008269,8748
3008295,9591
3008317,8751
3008360,8980
3008364,8636
3008367,8842
3008374,8810
3008377,8749
3008401,8810
3008443,8980
3008455,8753
3008486,8729
3008512,8636
3008534,8810
3008561,8523
3008575,8749
3008578,8842
3008592,8749
3008598,8845
3008612,9014
3008625,8845
3008661,8810
3008675,8810
3008739,8525
3008788,8842
3008799,8753
3008815,8810
3008865,8810
3008877,8636
3008884,8749
3008891,8985
3008893,8842
3008901,8810
3008915,8842
3008943,9444
3008955,8810
3008977,8751
3008982,8810
3009003,9073
3009010,8749
3009011,8985
3009035,8729
3009041,9100
3009118,9099
3009172,8749
3009198,8748
3009201,9040
3009208,8810
3009214,8923
3009238,8736
3009271,8810
3009293,8753
3009301,8554
3009306,8842
3009337,8842
3009343,8482
3009351,8810
3009356,8749
3009361,8554
3009365,9073
3009366,8751
3009399,8810
3009413,9040
3009414,8636
3009420,8751
3009450,8980
3009453,8749
3009461,8907
3009471,8753
3009484,9073
3009508,8753
3009511,9073
3009565,8554
3009577,8749
3009609,8753
3009617,9529
3009682,8842
3009687,9073
3009695,8736
3009736,8751
3009754,8810
3009801,8810
3009803,8842
3009806,8751
3009814,8554
3009827,8636
