history_id,timestamp,username,action_type,general_concept_id,comment
1,2025-11-03 14:00:00,Boris Delange,insert,1,Initial creation
2,2025-11-03 14:00:00,Boris Delange,insert,2,Initial creation
3,2025-11-03 14:00:00,Boris Delange,insert,3,Initial creation
4,2025-11-03 14:00:00,Boris Delange,insert,4,Initial creation
5,2025-11-03 14:00:00,Boris Delange,insert,5,Initial creation
6,2025-11-03 14:00:00,Boris Delange,insert,6,Initial creation
7,2025-11-03 14:00:00,Boris Delange,insert,7,Initial creation
8,2025-11-03 14:00:00,Boris Delange,insert,8,Initial creation
9,2025-11-03 14:00:00,Boris Delange,insert,9,Initial creation
10,2025-11-03 14:00:00,Boris Delange,insert,10,Initial creation
11,2025-11-03 14:00:00,Boris Delange,insert,11,Initial creation
12,2025-11-03 14:00:00,Boris Delange,insert,12,Initial creation
13,2025-11-03 14:00:00,Boris Delange,insert,13,Initial creation
14,2025-11-03 14:00:00,Boris Delange,insert,14,Initial creation
15,2025-11-03 14:00:00,Boris Delange,insert,15,Initial creation
16,2025-11-03 14:00:00,Boris Delange,insert,16,Initial creation
17,2025-11-03 14:00:00,Boris Delange,insert,17,Initial creation
18,2025-11-03 14:00:00,Boris Delange,insert,18,Initial creation
19,2025-11-03 14:00:00,Boris Delange,insert,19,Initial creation
20,2025-11-03 14:00:00,Boris Delange,insert,20,Initial creation
21,2025-11-03 14:00:00,Boris Delange,insert,21,Initial creation
22,2025-11-03 14:00:00,Boris Delange,insert,22,Initial creation
23,2025-11-03 14:00:00,Boris Delange,insert,23,Initial creation
24,2025-11-03 14:00:00,Boris Delange,insert,24,Initial creation
25,2025-11-03 14:00:00,Boris Delange,insert,25,Initial creation
26,2025-11-03 14:00:00,Boris Delange,insert,337,Initial creation
27,2025-11-03 14:00:00,Boris Delange,insert,26,Initial creation
28,2025-11-03 14:00:00,Boris Delange,insert,27,Initial creation
29,2025-11-03 14:00:00,Boris Delange,insert,28,Initial creation
30,2025-11-03 14:00:00,Boris Delange,insert,29,Initial creation
31,2025-11-03 14:00:00,Boris Delange,insert,30,Initial creation
32,2025-11-03 14:00:00,Boris Delange,insert,31,Initial creation
33,2025-11-03 14:00:00,Boris Delange,insert,32,Initial creation
34,2025-11-03 14:00:00,Boris Delange,insert,33,Initial creation
35,2025-11-03 14:00:00,Boris Delange,insert,34,Initial creation
36,2025-11-03 14:00:00,Boris Delange,insert,35,Initial creation
37,2025-11-03 14:00:00,Boris Delange,insert,36,Initial creation
38,2025-11-03 14:00:00,Boris Delange,insert,37,Initial creation
39,2025-11-03 14:00:00,Boris Delange,insert,38,Initial creation
40,2025-11-03 14:00:00,Boris Delange,insert,39,Initial creation
41,2025-11-03 14:00:00,Boris Delange,insert,40,Initial creation
42,2025-11-03 14:00:00,Boris Delange,insert,41,Initial creation
43,2025-11-03 14:00:00,Boris Delange,insert,42,Initial creation
44,2025-11-03 14:00:00,Boris Delange,insert,43,Initial creation
45,2025-11-03 14:00:00,Boris Delange,insert,44,Initial creation
46,2025-11-03 14:00:00,Boris Delange,insert,45,Initial creation
47,2025-11-03 14:00:00,Boris Delange,insert,46,Initial creation
48,2025-11-03 14:00:00,Boris Delange,insert,47,Initial creation
49,2025-11-03 14:00:00,Boris Delange,insert,48,Initial creation
50,2025-11-03 14:00:00,Boris Delange,insert,49,Initial creation
51,2025-11-03 14:00:00,Boris Delange,insert,50,Initial creation
52,2025-11-03 14:00:00,Boris Delange,insert,51,Initial creation
53,2025-11-03 14:00:00,Boris Delange,insert,52,Initial creation
54,2025-11-03 14:00:00,Boris Delange,insert,53,Initial creation
55,2025-11-03 14:00:00,Boris Delange,insert,54,Initial creation
56,2025-11-03 14:00:00,Boris Delange,insert,55,Initial creation
57,2025-11-03 14:00:00,Boris Delange,insert,56,Initial creation
58,2025-11-03 14:00:00,Boris Delange,insert,57,Initial creation
59,2025-11-03 14:00:00,Boris Delange,insert,58,Initial creation
60,2025-11-03 14:00:00,Boris Delange,insert,59,Initial creation
61,2025-11-03 14:00:00,Boris Delange,insert,60,Initial creation
62,2025-11-03 14:00:00,Boris Delange,insert,61,Initial creation
63,2025-11-03 14:00:00,Boris Delange,insert,62,Initial creation
64,2025-11-03 14:00:00,Boris Delange,insert,63,Initial creation
65,2025-11-03 14:00:00,Boris Delange,insert,64,Initial creation
66,2025-11-03 14:00:00,Boris Delange,insert,66,Initial creation
67,2025-11-03 14:00:00,Boris Delange,insert,67,Initial creation
68,2025-11-03 14:00:00,Boris Delange,insert,69,Initial creation
69,2025-11-03 14:00:00,Boris Delange,insert,70,Initial creation
70,2025-11-03 14:00:00,Boris Delange,insert,71,Initial creation
71,2025-11-03 14:00:00,Boris Delange,insert,72,Initial creation
72,2025-11-03 14:00:00,Boris Delange,insert,73,Initial creation
73,2025-11-03 14:00:00,Boris Delange,insert,74,Initial creation
74,2025-11-03 14:00:00,Boris Delange,insert,75,Initial creation
75,2025-11-03 14:00:00,Boris Delange,insert,76,Initial creation
76,2025-11-03 14:00:00,Boris Delange,insert,77,Initial creation
77,2025-11-03 14:00:00,Boris Delange,insert,78,Initial creation
78,2025-11-03 14:00:00,Boris Delange,insert,79,Initial creation
79,2025-11-03 14:00:00,Boris Delange,insert,80,Initial creation
80,2025-11-03 14:00:00,Boris Delange,insert,81,Initial creation
81,2025-11-03 14:00:00,Boris Delange,insert,82,Initial creation
82,2025-11-03 14:00:00,Boris Delange,insert,83,Initial creation
83,2025-11-03 14:00:00,Boris Delange,insert,84,Initial creation
84,2025-11-03 14:00:00,Boris Delange,insert,85,Initial creation
85,2025-11-03 14:00:00,Boris Delange,insert,86,Initial creation
86,2025-11-03 14:00:00,Boris Delange,insert,87,Initial creation
87,2025-11-03 14:00:00,Boris Delange,insert,88,Initial creation
88,2025-11-03 14:00:00,Boris Delange,insert,89,Initial creation
89,2025-11-03 14:00:00,Boris Delange,insert,90,Initial creation
90,2025-11-03 14:00:00,Boris Delange,insert,91,Initial creation
91,2025-11-03 14:00:00,Boris Delange,insert,92,Initial creation
92,2025-11-03 14:00:00,Boris Delange,insert,93,Initial creation
93,2025-11-03 14:00:00,Boris Delange,insert,94,Initial creation
94,2025-11-03 14:00:00,Boris Delange,insert,95,Initial creation
95,2025-11-03 14:00:00,Boris Delange,insert,96,Initial creation
96,2025-11-03 14:00:00,Boris Delange,insert,97,Initial creation
97,2025-11-03 14:00:00,Boris Delange,insert,98,Initial creation
98,2025-11-03 14:00:00,Boris Delange,insert,99,Initial creation
99,2025-11-03 14:00:00,Boris Delange,insert,101,Initial creation
100,2025-11-03 14:00:00,Boris Delange,insert,102,Initial creation
101,2025-11-03 14:00:00,Boris Delange,insert,335,Initial creation
102,2025-11-03 14:00:00,Boris Delange,insert,103,Initial creation
103,2025-11-03 14:00:00,Boris Delange,insert,105,Initial creation
104,2025-11-03 14:00:00,Boris Delange,insert,106,Initial creation
105,2025-11-03 14:00:00,Boris Delange,insert,107,Initial creation
106,2025-11-03 14:00:00,Boris Delange,insert,108,Initial creation
107,2025-11-03 14:00:00,Boris Delange,insert,109,Initial creation
108,2025-11-03 14:00:00,Boris Delange,insert,110,Initial creation
109,2025-11-03 14:00:00,Boris Delange,insert,111,Initial creation
110,2025-11-03 14:00:00,Boris Delange,insert,112,Initial creation
111,2025-11-03 14:00:00,Boris Delange,insert,113,Initial creation
112,2025-11-03 14:00:00,Boris Delange,insert,114,Initial creation
113,2025-11-03 14:00:00,Boris Delange,insert,115,Initial creation
114,2025-11-03 14:00:00,Boris Delange,insert,116,Initial creation
115,2025-11-03 14:00:00,Boris Delange,insert,117,Initial creation
116,2025-11-03 14:00:00,Boris Delange,insert,118,Initial creation
117,2025-11-03 14:00:00,Boris Delange,insert,119,Initial creation
118,2025-11-03 14:00:00,Boris Delange,insert,120,Initial creation
119,2025-11-03 14:00:00,Boris Delange,insert,121,Initial creation
120,2025-11-03 14:00:00,Boris Delange,insert,122,Initial creation
121,2025-11-03 14:00:00,Boris Delange,insert,123,Initial creation
122,2025-11-03 14:00:00,Boris Delange,insert,124,Initial creation
123,2025-11-03 14:00:00,Boris Delange,insert,125,Initial creation
124,2025-11-03 14:00:00,Boris Delange,insert,126,Initial creation
125,2025-11-03 14:00:00,Boris Delange,insert,127,Initial creation
126,2025-11-03 14:00:00,Boris Delange,insert,128,Initial creation
127,2025-11-03 14:00:00,Boris Delange,insert,129,Initial creation
128,2025-11-03 14:00:00,Boris Delange,insert,130,Initial creation
129,2025-11-03 14:00:00,Boris Delange,insert,131,Initial creation
130,2025-11-03 14:00:00,Boris Delange,insert,132,Initial creation
131,2025-11-03 14:00:00,Boris Delange,insert,133,Initial creation
132,2025-11-03 14:00:00,Boris Delange,insert,134,Initial creation
133,2025-11-03 14:00:00,Boris Delange,insert,135,Initial creation
134,2025-11-03 14:00:00,Boris Delange,insert,136,Initial creation
135,2025-11-03 14:00:00,Boris Delange,insert,137,Initial creation
136,2025-11-03 14:00:00,Boris Delange,insert,138,Initial creation
137,2025-11-03 14:00:00,Boris Delange,insert,139,Initial creation
138,2025-11-03 14:00:00,Boris Delange,insert,140,Initial creation
139,2025-11-03 14:00:00,Boris Delange,insert,141,Initial creation
140,2025-11-03 14:00:00,Boris Delange,insert,142,Initial creation
141,2025-11-03 14:00:00,Boris Delange,insert,143,Initial creation
142,2025-11-03 14:00:00,Boris Delange,insert,144,Initial creation
143,2025-11-03 14:00:00,Boris Delange,insert,145,Initial creation
144,2025-11-03 14:00:00,Boris Delange,insert,146,Initial creation
145,2025-11-03 14:00:00,Boris Delange,insert,147,Initial creation
146,2025-11-03 14:00:00,Boris Delange,insert,148,Initial creation
147,2025-11-03 14:00:00,Boris Delange,insert,149,Initial creation
148,2025-11-03 14:00:00,Boris Delange,insert,150,Initial creation
149,2025-11-03 14:00:00,Boris Delange,insert,151,Initial creation
150,2025-11-03 14:00:00,Boris Delange,insert,152,Initial creation
151,2025-11-03 14:00:00,Boris Delange,insert,153,Initial creation
152,2025-11-03 14:00:00,Boris Delange,insert,154,Initial creation
153,2025-11-03 14:00:00,Boris Delange,insert,155,Initial creation
154,2025-11-03 14:00:00,Boris Delange,insert,156,Initial creation
155,2025-11-03 14:00:00,Boris Delange,insert,157,Initial creation
156,2025-11-03 14:00:00,Boris Delange,insert,158,Initial creation
157,2025-11-03 14:00:00,Boris Delange,insert,159,Initial creation
158,2025-11-03 14:00:00,Boris Delange,insert,160,Initial creation
159,2025-11-03 14:00:00,Boris Delange,insert,161,Initial creation
160,2025-11-03 14:00:00,Boris Delange,insert,162,Initial creation
161,2025-11-03 14:00:00,Boris Delange,insert,163,Initial creation
162,2025-11-03 14:00:00,Boris Delange,insert,164,Initial creation
163,2025-11-03 14:00:00,Boris Delange,insert,165,Initial creation
164,2025-11-03 14:00:00,Boris Delange,insert,166,Initial creation
165,2025-11-03 14:00:00,Boris Delange,insert,167,Initial creation
166,2025-11-03 14:00:00,Boris Delange,insert,168,Initial creation
167,2025-11-03 14:00:00,Boris Delange,insert,169,Initial creation
168,2025-11-03 14:00:00,Boris Delange,insert,170,Initial creation
169,2025-11-03 14:00:00,Boris Delange,insert,171,Initial creation
170,2025-11-03 14:00:00,Boris Delange,insert,172,Initial creation
171,2025-11-03 14:00:00,Boris Delange,insert,173,Initial creation
172,2025-11-03 14:00:00,Boris Delange,insert,174,Initial creation
173,2025-11-03 14:00:00,Boris Delange,insert,175,Initial creation
174,2025-11-03 14:00:00,Boris Delange,insert,176,Initial creation
175,2025-11-03 14:00:00,Boris Delange,insert,177,Initial creation
176,2025-11-03 14:00:00,Boris Delange,insert,178,Initial creation
177,2025-11-03 14:00:00,Boris Delange,insert,179,Initial creation
178,2025-11-03 14:00:00,Boris Delange,insert,180,Initial creation
179,2025-11-03 14:00:00,Boris Delange,insert,181,Initial creation
180,2025-11-03 14:00:00,Boris Delange,insert,182,Initial creation
181,2025-11-03 14:00:00,Boris Delange,insert,183,Initial creation
182,2025-11-03 14:00:00,Boris Delange,insert,184,Initial creation
183,2025-11-03 14:00:00,Boris Delange,insert,185,Initial creation
184,2025-11-03 14:00:00,Boris Delange,insert,186,Initial creation
185,2025-11-03 14:00:00,Boris Delange,insert,187,Initial creation
186,2025-11-03 14:00:00,Boris Delange,insert,188,Initial creation
187,2025-11-03 14:00:00,Boris Delange,insert,189,Initial creation
188,2025-11-03 14:00:00,Boris Delange,insert,190,Initial creation
189,2025-11-03 14:00:00,Boris Delange,insert,191,Initial creation
190,2025-11-03 14:00:00,Boris Delange,insert,192,Initial creation
191,2025-11-03 14:00:00,Boris Delange,insert,193,Initial creation
192,2025-11-03 14:00:00,Boris Delange,insert,194,Initial creation
193,2025-11-03 14:00:00,Boris Delange,insert,195,Initial creation
194,2025-11-03 14:00:00,Boris Delange,insert,196,Initial creation
195,2025-11-03 14:00:00,Boris Delange,insert,197,Initial creation
196,2025-11-03 14:00:00,Boris Delange,insert,198,Initial creation
