"use_case_id","general_concept_id"
1,1
3,1
5,1
6,1
1,2
3,2
5,2
6,2
1,3
3,3
5,3
6,3
1,4
5,4
6,4
1,5
5,5
6,5
1,6
5,6
6,6
1,7
5,7
6,7
1,8
2,8
4,8
6,8
1,9
5,9
6,9
1,10
5,10
6,10
1,11
3,11
5,11
6,11
1,12
3,12
4,12
6,12
1,13
3,13
5,13
6,13
1,14
3,14
5,14
6,14
1,15
3,15
5,15
6,15
1,16
2,16
3,16
6,16
1,17
2,17
3,17
6,17
1,18
2,18
3,18
6,18
1,19
2,19
3,19
6,19
1,20
2,20
3,20
6,20
1,21
2,21
3,21
6,21
1,22
2,22
3,22
6,22
1,23
2,23
3,23
6,23
1,24
2,24
3,24
6,24
1,25
2,25
3,25
6,25
1,26
2,26
3,26
5,26
6,26
1,27
2,27
3,27
6,27
1,28
2,28
3,28
6,28
1,29
3,29
5,29
6,29
1,30
2,30
3,30
6,30
1,31
3,31
4,31
5,31
6,31
1,32
3,32
5,32
6,32
1,33
5,33
6,33
1,34
5,34
6,34
1,35
5,35
6,35
1,36
5,36
6,36
1,37
5,37
6,37
1,38
5,38
6,38
1,39
5,39
6,39
1,40
5,40
6,40
1,41
5,41
6,41
1,42
5,42
6,42
1,43
5,43
6,43
1,44
5,44
6,44
1,45
5,45
6,45
1,46
5,46
6,46
1,47
5,47
6,47
1,48
5,48
6,48
1,49
5,49
6,49
1,50
5,50
6,50
1,51
5,51
6,51
1,52
5,52
6,52
1,53
5,53
6,53
1,54
5,54
6,54
1,55
5,55
6,55
1,56
5,56
6,56
1,57
5,57
6,57
1,58
5,58
6,58
1,59
5,59
6,59
1,60
5,60
6,60
1,61
5,61
6,61
1,62
5,62
6,62
1,63
4,63
6,63
1,64
4,64
6,64
1,65
4,65
6,65
1,66
4,66
6,66
1,67
4,67
6,67
1,68
4,68
6,68
1,69
4,69
6,69
1,70
4,70
6,70
1,71
4,71
6,71
1,72
4,72
6,72
1,73
4,73
6,73
1,74
4,74
6,74
1,75
4,75
6,75
1,76
4,76
6,76
1,77
4,77
6,77
1,78
4,78
6,78
1,79
4,79
6,79
1,80
4,80
6,80
1,81
4,81
6,81
1,82
4,82
6,82
1,83
4,83
6,83
1,84
4,84
6,84
1,85
4,85
6,85
1,86
4,86
6,86
1,87
4,87
6,87
1,88
4,88
6,88
1,89
4,89
6,89
1,90
4,90
6,90
1,91
4,91
6,91
1,92
4,92
6,92
1,93
4,93
6,93
1,94
4,94
6,94
1,95
4,95
6,95
1,96
4,96
6,96
1,97
4,97
6,97
1,98
4,98
6,98
1,99
4,99
6,99
1,100
4,100
6,100
1,101
4,101
6,101
1,102
4,102
6,102
1,103
4,103
6,103
1,104
4,104
6,104
1,105
4,105
6,105
1,106
4,106
6,106
1,107
4,107
6,107
1,108
4,108
6,108
1,109
4,109
6,109
1,110
4,110
6,110
1,111
4,111
6,111
1,112
4,112
6,112
1,113
