general_concept_id,omop_concept_id,omop_unit_concept_id,source
8,3007194,/,manual
8,3008223,/,manual
8,3009094,/,manual
8,3016335,/,manual
10,37151627,/,manual
12,3010321,8588,manual
12,3026611,8588,manual
12,21490963,/,manual
12,21491763,/,manual
13,4105091,/,manual
14,36684829,/,manual
15,4165600,/,manual
17,45557668,/,manual
17,45557669,/,manual
17,45567323,/,manual
17,45586729,/,manual
17,45591605,/,manual
17,45596343,/,manual
17,45605953,/,manual
18,45543858,/,manual
18,45553437,/,manual
18,45553438,/,manual
18,45582391,/,manual
18,45582392,/,manual
18,45582393,/,manual
18,45582394,/,manual
19,45533614,/,manual
19,45533615,/,manual
19,45538546,/,manual
19,45557676,/,manual
19,45572229,/,manual
19,45586732,/,manual
19,45586733,/,manual
19,45755467,/,manual
20,45533613,/,manual
20,45557674,/,manual
20,45601186,/,manual
20,45755466,/,manual
21,4242843,/,manual
22,45537873,/,manual
22,45537876,/,manual
22,45537879,/,manual
22,45537880,/,manual
22,45542661,/,manual
22,45542663,/,manual
22,45542667,/,manual
22,45542670,/,manual
22,45547558,/,manual
22,45547561,/,manual
22,45552312,/,manual
22,45557041,/,manual
22,45557042,/,manual
22,45557044,/,manual
22,45557048,/,manual
22,45561874,/,manual
22,45561878,/,manual
22,45561880,/,manual
22,45561882,/,manual
22,45571570,/,manual
22,45571571,/,manual
22,45571572,/,manual
22,45571576,/,manual
22,45576367,/,manual
22,45576370,/,manual
22,45581254,/,manual
22,45581256,/,manual
22,45581258,/,manual
22,45581262,/,manual
22,45581263,/,manual
22,45581264,/,manual
22,45581265,/,manual
22,45586062,/,manual
22,45586073,/,manual
22,45586074,/,manual
22,45590969,/,manual
22,45595725,/,manual
22,45595727,/,manual
22,45600564,/,manual
22,45600565,/,manual
22,45600566,/,manual
22,45600568,/,manual
22,45600571,/,manual
22,45600572,/,manual
22,45600573,/,manual
22,45605333,/,manual
22,45755349,/,manual
22,45755351,/,manual
23,45532946,/,manual
23,45532956,/,manual
23,45532957,/,manual
23,45537871,/,manual
23,45542638,/,manual
23,45542646,/,manual
23,45542649,/,manual
23,45542659,/,manual
23,45547530,/,manual
