"general_concept_id","category","subcategory","general_concept_name","comments"
1,"Clinical observation","Neurological assessment","3-minute Diagnostic Interview for CAM-defined Delirium (3D-CAM) score",NA
2,"Clinical observation","Neurological assessment","4 A's Test for Delirium Screening score",NA
3,"Clinical observation","Neurological assessment","Behavior pain scale",NA
4,"Clinical observation","Neurological assessment","Confusion Assessment Method for the Intensive Care Unit (CAM-ICU) score",NA
5,"Clinical observation","Neurological assessment","Delirium Detection Score (DDS) score",NA
6,"Clinical observation","Neurological assessment","Delirium Observation Scale (DOS) score",NA
7,"Clinical observation","Neurological assessment","Delirium Rating Scale (DRS) score",NA
8,"Clinical observation","Neurological assessment","Glasgow coma scale",NA
9,"Clinical observation","Neurological assessment","Intensive Care Delirium Screening Checklist (ICDSC) score",NA
10,"Clinical observation","Neurological assessment","Numeric Pain Rating Scale",NA
11,"Clinical observation","Neurological assessment","Nursing Delirium Screening Scale (NU-DESC) score",NA
12,"Clinical observation","Neurological assessment","Pupillary response",NA
13,"Clinical observation","Neurological assessment","Ramsay sedation scale",NA
14,"Clinical observation","Neurological assessment","Richmond agitation-sedation scale",NA
15,"Clinical observation","Neurological assessment","Visual analog pain scale",NA
16,"Condition","APACHE IV - Chronic health conditions","AIDS","Test"
17,"Condition","APACHE IV - Chronic health conditions","Alcoholic liver disease","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
18,"Condition","APACHE IV - Chronic health conditions","Chronic kidney disease","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
19,"Condition","APACHE IV - Chronic health conditions","Cirrhosis of liver","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
20,"Condition","APACHE IV - Chronic health conditions","Hepatic failure, not elsewhere classified","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
21,"Condition","APACHE IV - Chronic health conditions","Immunosuppression",NA
22,"Condition","APACHE IV - Chronic health conditions","Leukemia","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
23,"Condition","APACHE IV - Chronic health conditions","Lymphoma","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
24,"Condition","APACHE IV - Chronic health conditions","Metastatic carcinoma","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
25,"Condition","APACHE IV - Chronic health conditions","Multiple myeloma","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
26,"Condition","General conditions","Adult Respiratory Distress Syndrome (ARDS)",NA
27,"Condition","General conditions","COPD","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
28,"Condition","General conditions","Chronic heart failure","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
29,"Condition","General conditions","Dependence on home ventilator",NA
30,"Condition","General conditions","Diabetes mellitus","As with all ICD-10 concepts, the recommended approach is to use the <strong>most specific codes</strong> possible. For example, it is better to use E10.0 rather than E10, as the former provides more detailed information about the diagnosis."
31,"Condition","Hospitalization complications","Catheter infection",NA
32,"Condition","Hospitalization complications","Ventilator-associated pneumonia",NA
33,"Drug","Anticoagulants","Acenocoumarol",NA
34,"Drug","Anticoagulants","Apixaban",NA
35,"Drug","Anticoagulants","Argatroban",NA
36,"Drug","Anticoagulants","Bemiparin",NA
37,"Drug","Anticoagulants","Betrixaban",NA
38,"Drug","Anticoagulants","Bivalirudin",NA
39,"Drug","Anticoagulants","Clorindione",NA
40,"Drug","Anticoagulants","Dabigatran Etexilate",NA
41,"Drug","Anticoagulants","Dalteparin",NA
42,"Drug","Anticoagulants","Danaparoid",NA
43,"Drug","Anticoagulants","Desirudin",NA
44,"Drug","Anticoagulants","Dicumarol",NA
45,"Drug","Anticoagulants","Edoxaban",NA
46,"Drug","Anticoagulants","Enoxaparin",NA
47,"Drug","Anticoagulants","Fluindione",NA
48,"Drug","Anticoagulants","Fondaparinux",NA
49,"Drug","Anticoagulants","Heparin",NA
50,"Drug","Anticoagulants","Lepirudin",NA
51,"Drug","Anticoagulants","Melagatran",NA
52,"Drug","Anticoagulants","Nadroparin",NA
53,"Drug","Anticoagulants","Parnaparin",NA
54,"Drug","Anticoagulants","Phenindione",NA
55,"Drug","Anticoagulants","Phenprocoumon",NA
56,"Drug","Anticoagulants","Reviparin",NA
57,"Drug","Anticoagulants","Rivaroxaban",NA
58,"Drug","Anticoagulants","Sulodexide",NA
59,"Drug","Anticoagulants","Tinzaparin",NA
60,"Drug","Anticoagulants","Tioclomarol",NA
61,"Drug","Anticoagulants","Warfarin",NA
62,"Drug","Anticoagulants","Ximelagatran",NA
63,"Drug","Antimicrobials","Amikacin",NA
64,"Drug","Antimicrobials","Amoxicillin",NA
66,"Drug","Antimicrobials","Amphotericin B",NA
67,"Drug","Antimicrobials","Ampicillin",NA
69,"Drug","Antimicrobials","Aztreonam",NA
70,"Drug","Antimicrobials","Caspofungin",NA
71,"Drug","Antimicrobials","Cefazolin",NA
72,"Drug","Antimicrobials","Cefiderocol",NA
73,"Drug","Antimicrobials","Cefotaxime",NA
74,"Drug","Antimicrobials","Cefoxitin",NA
75,"Drug","Antimicrobials","Ceftazidime",NA
76,"Drug","Antimicrobials","Ceftriaxone",NA
77,"Drug","Antimicrobials","Cefuroxime",NA
78,"Drug","Antimicrobials","Clarithromycin",NA
79,"Drug","Antimicrobials","Clavulanate",NA
